Restaurant,Rating,Famous_for,Location,Cost,Distance
Hippie @ Heart,4.3,"Finger Food, Italian, Continental, Fast Food, BBQ, Desserts, Beverages","Balewadi, Pune","₹1,600 for two",1.5 km
Two Sticks,4.3,"Chinese, Asian, Sushi","Baner, Pune","₹1,000 for two",457 m
Way Down South,4.0,"South Indian, Sandwich","Baner, Pune",₹450 for two,1.2 km
Shree Krishna Veg Court,4.0,"North Indian, South Indian, Maharashtrian, Fast Food, Chinese, Desserts, Beverages","Wakad, Pune","₹1,200 for two",4.4 km
Nakhra Indian Kitchen & Bar,4.2,"North Indian, Bar Food, Seafood, Mughlai, Chinese, Desserts","Ozone Mall, Aundh, Pune","₹1,600 for two",3.2 km
Circle Of Crust,4.1,"Pizza, Fast Food, Cafe, Desserts, Shake","Hinjawadi, Pune",₹500 for two,4.7 km
Incognito - Restaurant Bar & Cafe,4.4,"Continental, Asian, Italian, Thai, North Indian, Biryani, Desserts, Beverages","Balewadi High Street, Baner, Pune","₹2,500 for two",1.3 km
Bird Valley,4.1,"Chinese, Continental, North Indian, Mughlai, Sandwich, Seafood, Kebab, Desserts","Pimple Saudagar, Pune","₹1,200 for two",4.3 km
Slice Of Soul,3.9,"Pizza, Pasta, Italian, Salad, Fast Food, Beverages","Baner, Pune",₹500 for two,687 m
The Blue Plate,4.4,"Continental, Pasta, Pizza, Salad, Italian, Desserts, Beverages","Aundh, Pune",₹800 for two,3 km
Matamaal - The Kashmiri Restaurant,4.7,"Kashmiri, North Indian, Tea","Wakad, Pune","₹1,200 for two",4.8 km
Swig,4.3,"Continental, Asian, Italian, Japanese, Pizza, Fast Food, Sushi, Beverages","Balewadi High Street, Baner, Pune","₹1,800 for two",1.2 km
Manbhavan Premium Thali Restaurant,3.8,North Indian,"Phoenix Mall of the Millennium, Pune",₹500 for two,4.9 km
Demitasse Coffee,3.8,"Cafe, Coffee, Fast Food, Burger, Sandwich, Pasta, Beverages","Aundh, Pune",₹300 for two,3.2 km
G Sardar G Da Dhaba,-,"North Indian, Biryani, Kebab, Chinese, Mughlai, Street Food, Beverages","Wakad, Pune","₹1,000 for two",4.4 km
Pie and Pea Cafe & Bakery,3.9,"Cafe, Coffee, Bakery, Pizza, Sandwich, Fast Food, Biryani, Desserts","Baner, Pune",₹900 for two,364 m
Meltish,4.2,"Modern Indian, Continental, Pizza, Burger, Sandwich, Desserts","Aundh, Pune","₹1,200 for two",2.6 km
The Burgs,3.9,"Burger, Fast Food","Wakad, Pune",₹400 for two,4.8 km
Nawab Asia,4.4,"North Indian, Chinese, Mughlai, Biryani, Seafood, Desserts, Beverages","Balewadi High Street, Baner, Pune","₹1,600 for two",1.2 km
Tim Hortons,4.4,"Cafe, Coffee, Beverages, Desserts, Sandwich, Fast Food","Phoenix Mall of the Millennium, Pune",₹300 for two,4.9 km
Uptown Tastes,3.8,"Chinese, Sichuan, Desserts, Asian","Pimple Nilakh, Pune",₹500 for two,3.1 km
The Rustle Nest,4.4,"Continental, North Indian, European, Biryani, Pasta, Sandwich, Desserts, Beverages","Baner, Pune",₹950 for two,923 m
DVG Benne Dosa,3.2,"South Indian, Beverages","Hinjawadi, Pune",₹300 for two,4.8 km
K,4.5,"Korean, Japanese","Aundh, Pune","₹1,400 for two",2.4 km
Gung The Palace,4.1,Korean,"Mahalunge, Pune","₹2,000 for two",2.1 km
The Chinese Wok,4.1,"Chinese, Asian, Oriental, Seafood, Sichuan","Pimple Nilakh, Pune",₹300 for two,3.1 km
Aromas Cafe & Bistro,4.3,"Continental, Burger, Sandwich, Pizza, Italian, Arabian, Salad, Desserts","Phoenix Mall of the Millennium, Pune","₹1,000 for two",4.9 km
Cafe House Of Brown,3.9,"Cafe, Sandwich, Fast Food, Pasta, Shake, Beverages","Bavdhan, Pune",₹350 for two,4.4 km
Irani Cafe,2.8,"Iranian, Fast Food, Bakery, Desserts, Beverages","Baner, Pune",₹300 for two,1.2 km
Grove Pizzeria,4.5,Pizza,"Baner, Pune",₹400 for two,449 m
Urbo,4.3,"North Indian, Mughlai, Asian, Pizza, Italian, Chinese, Biryani, Desserts","Baner, Pune","₹2,000 for two",387 m
Quench,4.2,"Asian, Kebab, Finger Food, Continental, Thai, Desserts","Aundh, Pune",₹950 for two,2.7 km
Charcoal The Sizzling Sensation,4.3,"North Indian, Mughlai, BBQ, Italian, Biryani, Kebab, Salad","Sus, Pune","₹1,200 for two",4.5 km
Chinar,4.3,Kashmiri,"Capital Building, Baner, Pune",₹500 for two,1.8 km
Buunkerbar,4.2,"Bar Food, Oriental, Italian, North Indian","Pashan, Pune","₹1,200 for two",2.1 km
Kerala Cafe,4.2,"Kerala, Seafood, Biryani, Beverages","Baner, Pune","₹1,500 for two",469 m
Hotel Rassa Kitchen And Bar,4.3,"Maharashtrian, North Indian, Mughlai, Seafood, Chinese, Kebab, Biryani, Desserts","Balewadi, Pune","₹1,000 for two",1.5 km
One China by Malaka Spice,4.5,"Chinese, Seafood, Asian, Tibetan, Desserts, Beverages","Pimple Saudagar, Pune","₹1,200 for two",4.4 km
Bailamos Alfresco & Dance,New,"Italian, Bar Food, North Indian, Chinese, Japanese, Biryani, Fast Food, Desserts","Baner, Pune","₹2,000 for two",1.7 km
The Fatayer Factory,-,"Lebanese, Shawarma, Pizza, Fast Food","Bavdhan, Pune",₹600 for two,4.5 km
Cafe Peter,3.9,"Cafe, Coffee, Continental, Korean, Fast Food, Italian, Desserts, Beverages","Hinjawadi, Pune","₹1,100 for two",4.7 km
Karolbaug Kebabs & Biryanis,4.1,"Chinese, Seafood, Mughlai, Biryani, Desserts, Beverages","Regent Plaza, Baner, Pune","₹1,100 for two",1.8 km
Barbeque Ville,4.3,"North Indian, Desserts","Wakad, Pune","₹1,600 for two",3.7 km
Pop Tate's,4.6,"North Indian, Chinese, Italian, Biryani, Pizza, Pasta, Fast Food, Beverages","Aundh, Pune","₹1,400 for two",2.9 km
Filament Bar,4.5,"Turkish, Middle Eastern, North Indian, Continental, Asian","Wakad, Pune","₹1,800 for two",3.6 km
Green Park,3.8,"North Indian, Chinese, Mughlai, Thai, Continental, Mexican, Desserts, Beverages","Hotel Green Park, Baner, Pune","₹1,800 for two",2.8 km
Prisha Greenfield Multi Cuisine Restaurant,4.4,"North Indian, Oriental, Biryani, Chinese","Lavale, Pune","₹1,000 for two",5 km
Nation 330,3.8,"North Indian, Chinese, Fast Food, Sichuan, Rolls, Seafood","Aditya Shagun Mall, Bavdhan, Pune","₹2,500 for two",4.5 km
